,,,#,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Unnamed: 15,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
36.0,Switzerland,4025870,,14148 ,,3952248.0,3104.0,59474.0,46.0,457901.0,1609.0,22103405.0,2514033.0,8792012 ,Europe,26210,,,6765.0,,,,,
37.0,South Africa,4012812,,102108 ,,3904513.0,,6191.0,192.0,65857.0,1676.0,26168861.0,429475.0,60932142 ,Africa,155972,,,102.0,,,,,
38.0,Philippines,3893573,2202.0,62062 ,51.0,3807018.0,1678.0,24493.0,681.0,34534.0,550.0,32331881.0,286763.0,112747616 ,Asia,2918173,20,0.5,217.0,,,,,
39.0,Romania,3228364,1176.0,66779 ,6.0,3120222.0,2058.0,41363.0,172.0,170278.0,3522.0,24725378.0,1304126.0,18959346 ,Europe,62841,62,0.3,2182.0,,,,,
40.0,Denmark,3092974,,6936 ,,3076955.0,,9083.0,6.0,529939.0,1188.0,128213105.0,21967570.0,5836472 ,Europe,28410,,,1556.0,,,,,
41.0,Sweden,2569152,,19873 ,,2528039.0,1065.0,21240.0,15.0,250993.0,1941.0,18865773.0,1843088.0,10235958 ,Europe,45151,,,2075.0,,,,,
42.0,Iraq,2457871,,25346 ,,2429962.0,,2563.0,21.0,58268.0,601.0,19212734.0,455469.0,42182323 ,Asia,1716642,,,61.0,,,,,
43.0,Serbia,2294006,,16737 ,,2208645.0,,68624.0,28.0,264865.0,1932.0,10716736.0,1237352.0,8661023 ,Europe,45171,,,7923.0,,,,,
44.0,Hungary,2048547,,47291 ,,1962698.0,,38558.0,23.0,213232.0,4922.0,11394556.0,1186052.0,9607132 ,Europe,52031,,,4013.0,,,,,
45.0,Bangladesh,2012761,,29328 ,,1957271.0,,26162.0,1331.0,11963.0,174.0,14766498.0,87765.0,168251346 ,Asia,84573711,,,155.0,,,,,
46.0,Singapore,1846094,,1594 ,,1769386.0,,75114.0,9.0,310256.0,268.0,24345019.0,4091448.0,5950221 ,Asia,337330,,,12624.0,,,,,
47.0,Slovakia,1835328,51.0,20365 ,2.0,1810772.0,82.0,4191.0,22.0,335810.0,3726.0,7271880.0,1330535.0,5465381 ,Europe,32681,9,0.4,767.0,,,,,
48.0,New Zealand,1749139,1400.0,2779 ,4.0,1734023.0,1693.0,12337.0,,349681.0,556.0,7492531.0,1497877.0,5002100 ,Australia/Oceania,318001,280,0.8,2466.0,,,,,
49.0,Georgia,1735682,,16889 ,,1637293.0,,81500.0,,436919.0,4251.0,16920079.0,4259246.0,3972553 ,Asia,22350,,,20516.0,,,,,
50.0,Jordan,1735495,,14110 ,,1718032.0,,3353.0,59.0,166506.0,1354.0,17128152.0,1643299.0,10423028 ,Asia,67391,,,322.0,,,,,
51.0,Ireland,1656956,,7798 ,,1641356.0,460.0,7802.0,8.0,327622.0,1542.0,12647411.0,2500709.0,5057531 ,Europe,36490,,,1543.0,,,,,
52.0,Hong Kong,1582399,,9724 ,,1339636.0,,233039.0,18.0,207419.0,1275.0,54352132.0,7124397.0,7629015 ,Asia,57850,,,30546.0,,,,,
53.0,Pakistan,1570206,190.0,30593 ,2.0,1530962.0,,8651.0,119.0,6821.0,133.0,30192506.0,131155.0,230205218 ,Asia,14775258,0.8,0.01,38.0,,,,,
54.0,Norway,1460431,,3980 ,,1454916.0,,1535.0,20.0,264894.0,722.0,11002430.0,1995630.0,5513262 ,Europe,413851,,,278.0,,,,,
55.0,Kazakhstan,1390109,562.0,13684 ,,1359538.0,1198.0,16887.0,24.0,72160.0,710.0,11575012.0,600853.0,19264312 ,Asia,1414082,29,,877.0,,,,,
56.0,Finland,1266917,,5690 ,,1235366.0,2182.0,25861.0,21.0,227887.0,1023.0,11394153.0,2049530.0,5559399 ,Europe,49770,,,4652.0,,,,,
57.0,Morocco,1264549,,16274 ,,1247943.0,,332.0,293.0,33400.0,430.0,12475527.0,329514.0,37860374 ,Africa,3023263,,,9.0,,,,,
58.0,Bulgaria,1244733,,37613 ,,1195120.0,,12000.0,44.0,182112.0,5503.0,10448658.0,1528698.0,6835003 ,Europe,51821,,,1756.0,,,,,
59.0,Lithuania,1220882,49.0,9293 ,1.0,1191734.0,187.0,19855.0,9.0,462464.0,3520.0,10121695.0,3834048.0,2639950 ,Europe,22840,19,0.4,7521.0,,,,,
60.0,Croatia,1216429,,16739 ,,1194714.0,,4976.0,12.0,300327.0,4133.0,5150402.0,1271593.0,4050355 ,Europe,32421,,,1229.0,,,,,
